,instagram_id,fct_date,canonical_brand_url,fct_followers_count,est_followers_count,fct_following_count,est_following_count,fct_posts_count,est_posts_count,execution_period,comments,likes
97,2179286233,2018-10-01,lossundays.com,,,,,,,2021-12,,
145,16168990751,2018-10-01,teremana.com,,,,,,,2021-12,,
108,211618639,2018-10-01,dulcevidaspirits.com,,,,,,,2021-12,,
159,2694491630,2018-10-01,ghosttequila.com,,,,,,,2021-12,,
209,7617656729,2018-10-01,mezcalrosaluna.com,,,,,,,2021-12,,
9,2263717464,2018-10-01,madremezcal.com,,,,,,,2021-12,,
162,7740896584,2018-10-01,properwhiskey.com,,,,,,,2021-12,,
235,211618639,2018-11-01,dulcevidaspirits.com,,,,,,,2021-12,,
237,2179286233,2018-11-01,lossundays.com,7457.0,7457.0,2546.0,2546.0,194.0,194.0,2021-12,188.0,6016.0
225,2694491630,2018-11-01,ghosttequila.com,,,,,,,2021-12,,
188,2263717464,2018-11-01,madremezcal.com,,,,,,,2021-12,,
102,16168990751,2018-11-01,teremana.com,,,,,,,2021-12,,
23,7617656729,2018-11-01,mezcalrosaluna.com,,,,,,,2021-12,,
137,7740896584,2018-11-01,properwhiskey.com,,,,,,,2021-12,,
30,2694491630,2018-12-01,ghosttequila.com,,,,,,,2021-12,,
52,7740896584,2018-12-01,properwhiskey.com,,,,,,,2021-12,,
115,2179286233,2018-12-01,lossundays.com,7813.0,7694.3335,2608.0,2587.3333,208.0,203.33333,2021-12,195.0,6144.0
20,2263717464,2018-12-01,madremezcal.com,,,,,,,2021-12,,
224,211618639,2018-12-01,dulcevidaspirits.com,,,,,,,2021-12,,
270,7617656729,2018-12-01,mezcalrosaluna.com,,,,,,,2021-12,,
146,16168990751,2018-12-01,teremana.com,,,,,,,2021-12,,
119,211618639,2019-01-01,dulcevidaspirits.com,,,,,,,2021-12,,
222,2263717464,2019-01-01,madremezcal.com,,,,,,,2021-12,,
64,7740896584,2019-01-01,properwhiskey.com,,,,,,,2021-12,,
142,16168990751,2019-01-01,teremana.com,,,,,,,2021-12,,
218,2179286233,2019-01-01,lossundays.com,8377.0,8084.4287,2615.0,2603.1428,227.0,216.85715,2021-12,165.0,5025.0
90,7617656729,2019-01-01,mezcalrosaluna.com,,,,,,,2021-12,,
43,2694491630,2019-01-01,ghosttequila.com,,,,,,,2021-12,,
216,16168990751,2019-02-01,teremana.com,,,,,,,2021-12,,
155,2694491630,2019-02-01,ghosttequila.com,,,,,,,2021-12,,
190,2263717464,2019-02-01,madremezcal.com,,,,,,,2021-12,,
265,7617656729,2019-02-01,mezcalrosaluna.com,,,,,,,2021-12,,
15,211618639,2019-02-01,dulcevidaspirits.com,,,,,,,2021-12,,
234,7740896584,2019-02-01,properwhiskey.com,576126.0,576126.0,1.0,1.0,79.0,79.0,2021-12,2690.0,326098.0
196,2179286233,2019-02-01,lossundays.com,8672.0,8397.8,2697.0,2653.2,240.0,229.2,2021-12,191.0,5993.0
263,2694491630,2019-03-01,ghosttequila.com,,,,,,,2021-12,,
19,211618639,2019-03-01,dulcevidaspirits.com,,,,,,,2021-12,,
266,7740896584,2019-03-01,properwhiskey.com,587712.0,583850.0,1.0,1.0,98.0,91.666664,2021-12,2720.0,305456.0
250,2179286233,2019-03-01,lossundays.com,8809.0,8610.032,2687.0,2670.6453,259.0,244.58064,2021-12,266.0,5676.0
59,16168990751,2019-03-01,teremana.com,,,,,,,2021-12,,
78,2263717464,2019-03-01,madremezcal.com,,,,,,,2021-12,,
74,7617656729,2019-03-01,mezcalrosaluna.com,,,,,,,2021-12,,
106,7740896584,2019-04-01,properwhiskey.com,598758.0,592368.9,2.0,1.5714285,112.0,103.28571,2021-12,3960.0,341334.0
215,2694491630,2019-04-01,ghosttequila.com,9317.0,9317.0,1728.0,1728.0,813.0,813.0,2021-12,116.0,2424.0
200,16168990751,2019-04-01,teremana.com,,,,,,,2021-12,,
11,2263717464,2019-04-01,madremezcal.com,,,,,,,2021-12,,
271,7617656729,2019-04-01,mezcalrosaluna.com,,,,,,,2021-12,,
269,2179286233,2019-04-01,lossundays.com,9456.0,9039.73,2893.0,2783.5874,282.0,263.5873,2021-12,392.0,11888.0
221,211618639,2019-04-01,dulcevidaspirits.com,,,,,,,2021-12,,
86,2263717464,2019-05-01,madremezcal.com,,,,,,,2021-12,,
69,7617656729,2019-05-01,mezcalrosaluna.com,,,,,,,2021-12,,
124,211618639,2019-05-01,dulcevidaspirits.com,,,,,,,2021-12,,
125,2694491630,2019-05-01,ghosttequila.com,10308.0,9977.667,1739.0,1735.3334,808.0,809.6667,2021-12,134.0,2844.0
229,7740896584,2019-05-01,properwhiskey.com,604405.0,598788.1,2.0,1.8,128.0,116.46667,2021-12,2022.0,201422.0
136,2179286233,2019-05-01,lossundays.com,9961.0,9503.992,2978.0,2881.559,291.0,277.40158,2021-12,173.0,5993.0
267,16168990751,2019-05-01,teremana.com,,,,,,,2021-12,,
53,7740896584,2019-06-01,properwhiskey.com,612783.0,606011.3,2.0,1.9032258,141.0,129.12903,2021-12,1541.0,204547.0
261,2263717464,2019-06-01,madremezcal.com,,,,,,,2021-12,,
139,16168990751,2019-06-01,teremana.com,,,,,,,2021-12,,
158,211618639,2019-06-01,dulcevidaspirits.com,10984.0,10984.0,5857.0,5857.0,1400.0,1400.0,2021-12,198.0,3777.0
116,2179286233,2019-06-01,lossundays.com,10377.0,9942.208,3154.0,3018.3137,302.0,289.74902,2021-12,236.0,6941.0
170,7617656729,2019-06-01,mezcalrosaluna.com,,,,,,,2021-12,,
48,2694491630,2019-06-01,ghosttequila.com,10690.0,10384.714,1422.0,1556.2858,818.0,814.4286,2021-12,89.0,2387.0
114,16168990751,2019-07-01,teremana.com,,,,,,,2021-12,,
211,2263717464,2019-07-01,madremezcal.com,,,,,,,2021-12,,
160,2179286233,2019-07-01,lossundays.com,10688.0,10315.834,3243.0,3130.8767,317.0,303.40118,2021-12,259.0,6373.0
164,7617656729,2019-07-01,mezcalrosaluna.com,,,,,,,2021-12,,
47,7740896584,2019-07-01,properwhiskey.com,632046.0,619235.25,2.0,1.9523809,153.0,141.25397,2021-12,1640.0,174392.0
5,211618639,2019-07-01,dulcevidaspirits.com,12078.0,11713.333,5885.0,5875.6665,1414.0,1409.3334,2021-12,390.0,4994.0
141,2694491630,2019-07-01,ghosttequila.com,11118.0,10775.8,1551.0,1553.4667,823.0,819.0,2021-12,93.0,2217.0
259,2694491630,2019-08-01,ghosttequila.com,11630.0,11216.678,1693.0,1625.4839,834.0,826.74194,2021-12,63.0,2221.0
105,7617656729,2019-08-01,mezcalrosaluna.com,,,,,,,2021-12,,
113,2263717464,2019-08-01,madremezcal.com,,,,,,,2021-12,,
10,2179286233,2019-08-01,lossundays.com,11250.0,10783.373,3362.0,3246.5513,328.0,315.71262,2021-12,224.0,7004.0
26,7740896584,2019-08-01,properwhiskey.com,634735.0,627046.2,2.0,1.976378,169.0,155.23622,2021-12,1467.0,138832.0
65,16168990751,2019-08-01,teremana.com,,,,,,,2021-12,,
2,211618639,2019-08-01,dulcevidaspirits.com,13446.0,12703.429,5876.0,5875.857,1426.0,1418.8572,2021-12,287.0,4180.0
161,7740896584,2019-09-01,properwhiskey.com,,630335.44,,1.9882352,,165.15686,2021-12,1710.0,147982.0
194,2694491630,2019-09-01,ghosttequila.com,,11495.444,,1685.4286,,836.5238,2021-12,59.0,1981.0
157,7617656729,2019-09-01,mezcalrosaluna.com,,,,,,,2021-12,,
29,16168990751,2019-09-01,teremana.com,,,,,,,2021-12,,
202,2179286233,2019-09-01,lossundays.com,11763.0,11273.426,3464.0,3355.3289,343.0,329.36298,2021-12,246.0,6564.0
121,211618639,2019-09-01,dulcevidaspirits.com,,13584.8,,5877.4,,1428.2667,2021-12,,
214,2263717464,2019-09-01,madremezcal.com,,,,,,,2021-12,,
110,16168990751,2019-10-01,teremana.com,,,,,,,2021-12,,
18,2694491630,2019-10-01,ghosttequila.com,11901.0,11699.819,1794.0,1740.1417,858.0,847.34644,2021-12,120.0,3690.0
241,211618639,2019-10-01,dulcevidaspirits.com,,14452.517,,5879.516,,1437.9354,2021-12,,
62,7740896584,2019-10-01,properwhiskey.com,632463.0,631401.3,2.0,1.9941292,181.0,173.09393,2021-12,976.0,117346.0
67,2263717464,2019-10-01,madremezcal.com,16780.0,16780.0,191.0,191.0,447.0,447.0,2021-12,44.0,3989.0
166,7617656729,2019-10-01,mezcalrosaluna.com,,,,,,,2021-12,,
37,2179286233,2019-10-01,lossundays.com,12468.0,11870.858,3538.0,3446.6868,348.0,338.68375,2021-12,347.0,7628.0
89,2694491630,2019-11-01,ghosttequila.com,,11757.134,,1778.9725,,853.69806,2021-12,,
91,2263717464,2019-11-01,madremezcal.com,17100.0,16993.334,201.0,197.66667,450.0,449.0,2021-12,49.0,4905.0
61,2179286233,2019-11-01,lossundays.com,13337.0,12604.019,3604.0,3525.353,358.0,348.34305,2021-12,271.0,6900.0
207,7617656729,2019-11-01,mezcalrosaluna.com,,,,,,,2021-12,,
126,16168990751,2019-11-01,teremana.com,,,,,,,2021-12,,
63,7740896584,2019-11-01,properwhiskey.com,640490.0,635950.06,2.0,1.9970675,192.0,182.55621,2021-12,3255.0,162760.0
49,211618639,2019-11-01,dulcevidaspirits.com,,15327.937,,5881.9204,,1447.873,2021-12,,
258,2179286233,2019-12-01,lossundays.com,13751.0,13177.545,3689.0,3607.1814,370.0,359.17218,2021-12,404.0,9173.0
191,16168990751,2019-12-01,teremana.com,,,,,,,2021-12,,
38,7617656729,2019-12-01,mezcalrosaluna.com,,,,,,,2021-12,,
254,7740896584,2019-12-01,properwhiskey.com,689897.0,662936.75,2.0,1.9985344,227.0,204.78896,2021-12,110623.0,193077.0
1,211618639,2019-12-01,dulcevidaspirits.com,17086.0,16213.89,5887.0,5884.4805,1468.0,1458.0157,2021-12,100.0,1996.0
120,2694491630,2019-12-01,ghosttequila.com,11727.0,11742.037,1841.0,1810.047,862.0,857.8571,2021-12,81.0,2081.0
264,2263717464,2019-12-01,madremezcal.com,17693.0,17393.143,205.0,201.85715,453.0,451.2857,2021-12,44.0,4592.0
13,211618639,2020-01-01,dulcevidaspirits.com,,17208.58,,5885.494,,1466.7921,2021-12,,
179,16168990751,2020-01-01,teremana.com,,,,,,,2021-12,,
231,7617656729,2020-01-01,mezcalrosaluna.com,,,,,,,2021-12,,
151,2694491630,2020-01-01,ghosttequila.com,11744.0,11743.02,2002.0,1906.1173,862.0,859.9306,2021-12,81.0,2126.0
223,2263717464,2020-01-01,madremezcal.com,18144.0,17793.6,207.0,204.6,453.0,452.2,2021-12,46.0,4656.0
71,2179286233,2020-01-01,lossundays.com,14225.0,13701.288,3738.0,3672.5928,379.0,369.0864,2021-12,321.0,9792.0
44,7740896584,2020-01-01,properwhiskey.com,714203.0,688576.1,2.0,1.9992673,243.0,223.89914,2021-12,11090.0,549869.0
45,2179286233,2020-02-01,lossundays.com,14574.0,14137.65,3784.0,3728.297,388.0,378.54333,2021-12,234.0,7971.0
6,7617656729,2020-02-01,mezcalrosaluna.com,,,,,,,2021-12,,
8,16168990751,2020-02-01,teremana.com,,,,,,,2021-12,,
163,2263717464,2020-02-01,madremezcal.com,18594.0,18206.709,210.0,207.3871,456.0,454.1613,2021-12,54.0,4977.0
122,2694491630,2020-02-01,ghosttequila.com,11713.0,11728.003,2010.0,1958.084,866.0,862.9668,2021-12,62.0,1911.0
84,7740896584,2020-02-01,properwhiskey.com,722574.0,705577.1,2.0,1.9996338,254.0,238.95142,2021-12,1665.0,162781.0
262,211618639,2020-02-01,dulcevidaspirits.com,19305.0,18258.842,5886.0,5885.7476,1483.0,1474.912,2021-12,271.0,2823.0
212,211618639,2020-03-01,dulcevidaspirits.com,20028.0,19144.285,5888.0,5886.875,1487.0,1480.9619,2021-12,323.0,5506.0
178,2694491630,2020-03-01,ghosttequila.com,11671.0,11699.494,2013.0,1985.5487,864.0,863.4835,2021-12,39.0,1281.0
217,16168990751,2020-03-01,teremana.com,,,,,,,2021-12,,
79,7617656729,2020-03-01,mezcalrosaluna.com,,,,,,,2021-12,,
88,2263717464,2020-03-01,madremezcal.com,19014.0,18616.762,214.0,210.74603,462.0,458.14285,2021-12,40.0,3386.0
167,7740896584,2020-03-01,properwhiskey.com,733312.0,719445.44,1.0,1.4997864,272.0,255.47672,2021-12,28638.0,163595.0
220,2179286233,2020-03-01,lossundays.com,14877.0,14507.328,3856.0,3792.1492,401.0,389.77176,2021-12,721.0,13582.0
73,211618639,2020-04-01,dulcevidaspirits.com,20435.0,19789.957,5883.0,5884.9365,1493.0,1486.9839,2021-12,479.0,5015.0
228,2694491630,2020-04-01,ghosttequila.com,11833.0,11766.255,2015.0,2000.2761,879.0,871.2427,2021-12,22.0,1170.0
54,7740896584,2020-04-01,properwhiskey.com,731240.0,725342.9,1.0,1.2498856,283.0,269.23877,2021-12,6878.0,106353.0
198,2179286233,2020-04-01,lossundays.com,17115.0,15811.169,3954.0,3873.075,425.0,407.38596,2021-12,958.0,11977.0
257,16168990751,2020-04-01,teremana.com,303957.0,303957.0,3.0,3.0,28.0,28.0,2021-12,6676.0,206689.0
245,7617656729,2020-04-01,mezcalrosaluna.com,,,,,,,2021-12,,
244,2263717464,2020-04-01,madremezcal.com,19660.0,19142.488,218.0,214.40158,468.0,463.11023,2021-12,42.0,3019.0
16,2694491630,2020-05-01,ghosttequila.com,,11799.63,,2007.6385,,875.1216,2021-12,,
144,7740896584,2020-05-01,properwhiskey.com,724773.0,725057.94,1.0,1.1249409,294.0,281.61957,2021-12,1078.0,89480.0
268,16168990751,2020-05-01,teremana.com,391923.0,362601.0,3.0,3.0,39.0,35.333332,2021-12,3896.0,126892.0
171,7617656729,2020-05-01,mezcalrosaluna.com,,,,,,,2021-12,,
176,2263717464,2020-05-01,madremezcal.com,20352.0,19749.615,232.0,223.23529,471.0,467.0706,2021-12,65.0,5721.0
255,211618639,2020-05-01,dulcevidaspirits.com,20711.0,20250.592,5656.0,5770.4404,1498.0,1492.4933,2021-12,339.0,6699.0
117,2179286233,2020-05-01,lossundays.com,18977.0,17394.088,4017.0,3945.0376,436.0,421.693,2021-12,424.0,10062.0
201,211618639,2020-06-01,dulcevidaspirits.com,20772.0,20511.328,5335.0,5552.6934,1500.0,1496.2471,2021-12,181.0,3596.0
